bounce,campaign_id,campaign_name,category,channel,click,ctr,delivered,delivery_rate,delivery_type,failed,open,open_rate,sent,total_users_in_segment,unsubscribe
0,66c1a6eabb2bd753e9c465f1,Vance_payment completed_UAE,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,50,0.0,0,0,0
0,6757dbd1ef8ec54d101d7e7c,UAE - Checkout Declines - Insufficient Funds,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,11,0.0,0,0,0
0,6757e96469e1316bdb128eef,UAE - Checkout Declines - Transaction Not Permitted to Cardholder,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,2,0.0,0,0,0
0,6616cd1869f4a64b683c3a7f,Welcome Email (UK)- 6th dec,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,5,0.0,0,0,0
0,67e69cfe747d042eff6cc033,Vance_Transfer Delayed UAE ,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,1,0.0,0,0,0
0,6757dcfa5a65830916a40a2c,UAE - Checkout Declines - Exceeds Withdrawal Value/Amount Limits,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,1,0.0,0,0,0
0,64dc839b0858fe155d5c0eb8,,unknown,,0,0.0,0,0.0,unknown,0,10,0.0,0,0,0
0,67778295b2bdbc7aa5dde8a1,Vance - UAE - Leantech Declines - Insufficient Funds,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,3,0.0,0,0,0
0,67a1f1a539a852e471d66fca,UK_RFI_REJECTED,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,1,0.0,0,0,0
0,67a0a6f8f9406ae1ddd26b18,Vance_UK_RFI_DOCUMENT_REQUESTED,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,1,0.0,0,0,0
0,67ea3a485b853656644d595e,Vance_ Feedback - UAE_31ST MARH,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,2,0.0,0,0,0
0,67f02ccf12e3c0410720efd2,Welcome Email (EU)_Aspora,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,14,0.0,0,0,0
0,67eff5941487371e51bb1679,App update_olduser_aspora,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,3,0.0,0,0,0
0,67f021c312e3c0410720ef19, Welcome Email (UK)_ Aspora,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,230,0.0,0,0,0
0,67f0318227ab86d3358edbd6,Verified (UK)_ Aspora,transactional,EMAIL,1,0.0,0,0.0,EVENT_TRIGGERED,0,32,0.0,0,0,0
0,67f026d3bde1d5b59745851e, Welcome Email (UAE)_ Aspora,transactional,EMAIL,6,0.0,0,0.0,EVENT_TRIGGERED,0,473,0.0,0,0,0
0,67f0330054e864a639c2502e,Verified (EU)_ Aspora,transactional,EMAIL,7,2.73,0,0.0,EVENT_TRIGGERED,0,416,77.73,256,0,0
0,67f055ddac43058b2646811a,UAE_referral_aspora,transactional,EMAIL,2,0.0,0,0.0,EVENT_TRIGGERED,0,274,0.0,0,0,0
0,67f053cd5ff23ac8483a609c,UK_referral_aspora,transactional,EMAIL,0,0.0,0,0.0,EVENT_TRIGGERED,0,160,0.0,0,0,0
0,67f032a354e864a639c25028,Verified (UAE)_ Aspora,transactional,EMAIL,145,2.16,0,0.0,EVENT_TRIGGERED,0,6147,49.44,6709,0,0
