,Campaign ID,Campaign Version Name,Campaign Name,Campaign Sent Time,Goal 1 View Through Converted Users Android,Goal 1 View Through Converted Users Ios,Goal 1 View Through Converted Users All Platform,Android Sent,Ios Sent,All Platform Sent,Android Unique Clicks,Ios Unique Clicks,All Platform Unique Clicks
0,69723b5bc04a27d3f17e67b7,Version 1,UAE_churned_recent_Jan22,2026-01-22T20:29:40.184000,70,0,70,7314,3109,10423,166,1,167
1,69723b9bc04a27d3f17e67f0,Version 1,UAE_churned_dormant_Jan22,2026-01-22T20:30:44.130000,89,0,89,10511,4232,14743,153,1,154
2,697245e2c04a27d3f17e6c5f,Version 1,UK active referral 22 Jan 26,2026-01-22T21:14:35.567000,0,0,0,1821,2192,4013,46,1,47
3,69724673b51d825221bc04c7,Version 1,UAE active referral 22 Jan,2026-01-22T21:16:59.797000,0,0,0,65257,30119,95376,2276,5,2281
4,69724bf50f69c25e432ceceb,Version 1,US_churned_dormant_Jan22,2026-01-22T21:40:29.884000,2,0,2,57,79,136,3,0,3
5,69724db1260d8b363296b592,Version 1,US_churned_recent_Jan22,2026-01-22T21:47:54.678000,1,0,1,53,118,171,2,0,2
6,6973b89f570b4883cfe3d010,Version 1,Uk_churned_recent_Jan23,2026-01-23T23:36:23.756000,74,0,74,2666,2859,5525,74,7,81
7,6973b8f538c5dbb13d1f91fa,Version 1,UK_unact_notready_Jan23,2026-01-23T23:37:49.626000,107,0,107,6554,7729,14283,126,2,128
8,6973b94df4f37b44e6f099c5,Version 1,UK_unact_ready_Jan23,2026-01-23T23:39:17.806000,49,0,49,1905,2320,4225,50,2,52
9,6973b9cef4f37b44e6f099f9,Version 1,Uk_churned_dormant_Jan23,2026-01-23T23:41:27.370000,157,1,158,6631,5400,12031,146,5,151
10,69760358998892f20dacaa4e,Version 1,EU Blog info - 25 Jan 26,2026-01-25T17:19:45.101000,320,2,322,6117,4814,10931,263,0,263
11,6976063e8c81beb5d886b7d6,Version 1,UAE Blog info - 25 Jan26,2026-01-25T17:32:06.963000,5976,2,5978,204282,88297,292579,6472,17,6489
12,697606997b45b0ca0a7cf137,Version 1,UK Blog info - 25 Jan 26,2026-01-25T17:33:38.320000,2382,5,2387,61026,72411,133437,2117,20,2137
13,697608b7998892f20dacab73,Version 1,US Blog info - 25 Jan 26,2026-01-25T22:30:00,73,0,73,1520,3585,5105,65,0,65
14,6978e08af9ff51e893a87f8f,Version 1,UAE Active Healthy rate comparison - 27 Jan 26,2026-01-27T21:28:02.563000,1556,1,1557,77234,35979,113213,3821,11,3832
15,6978e42e472184021d4a17fc,Version 1,UAE Active At Risk rate comparison - 27 Jan 26,2026-01-27T21:43:35.010000,338,0,338,11297,5437,16734,479,2,481
16,6978e43388dde6a47ea77c40,Version 1,UAE Active Warning comparison - 27 Jan 26,2026-01-27T21:43:39.666000,122,0,122,12231,6114,18345,533,1,534
